"id","scheme","scheme_type","value","year","estimate_type"
787,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",4683.0,"2019-2020","Actual"
788,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",500.0,"2019-2020","Actual"
789,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",857.0,"2019-2020","Actual"
790,"Border Infrastructure and Management","Major Central Sector Schemes",2156.0,"2019-2020","Actual"
791,"Police Infrastructure","Major Central Sector Schemes",4063.0,"2019-2020","Actual"
792,"Residential","Major Central Sector Schemes",1512.0,"2019-2020","Actual"
793,"Non-residential","Major Central Sector Schemes",1337.0,"2019-2020","Actual"
794,"Metro Projects","Major Central Sector Schemes",18162.0,"2019-2020","Actual"
795,"National Capital Region Transport Corporation","Major Central Sector Schemes",274.0,"2019-2020","Actual"
796,"National River Conservation Plan","Major Central Sector Schemes",1200.0,"2019-2020","Actual"
797,"National Ganga Plan and Ghat Works","Major Central Sector Schemes",353.0,"2019-2020","Actual"
798,"Employees Pension Scheme, 1995","Major Central Sector Schemes",5097.0,"2019-2020","Actual"
799,"Aatmanirbhar Bharat Rojgar Yojana","Major Central Sector Schemes","","2019-2020","Actual"
800,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2464.0,"2019-2020","Actual"
801,"Infrastructure Development and Capacity Building","Major Central Sector Schemes",436.0,"2019-2020","Actual"
802,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes","","2019-2020","Actual"
803,"Education Empowerment","Major Central Sector Schemes",2176.0,"2019-2020","Actual"
804,"Skill Development and Livelihoods","Major Central Sector Schemes",433.0,"2019-2020","Actual"
805,"Wind Power","Major Central Sector Schemes",1026.0,"2019-2020","Actual"
806,"Solar Power","Major Central Sector Schemes",1535.0,"2019-2020","Actual"
807,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes","","2019-2020","Actual"
808,"Direct Benefit Transfer - LPG","Major Central Sector Schemes",29628.0,"2019-2020","Actual"
809,"Feedstock Subsidy to BCPL/Assam Gas Cracker Complex","Major Central Sector Schemes","","2019-2020","Actual"
810,"Official Development Assistance for Sustainable Development Goals (EAP Component)","Major Central Sector Schemes","","2019-2020","Actual"
811,"Deen Dayal Upadhyaya Gram Jyoti Yojna","Major Central Sector Schemes",3926.0,"2019-2020","Actual"
812,"Integrated Power Development Scheme","Major Central Sector Schemes",5560.0,"2019-2020","Actual"
813,"Strengthening of Power Systems","Major Central Sector Schemes",1813.0,"2019-2020","Actual"
814,"Power System Development Fund","Major Central Sector Schemes",555.0,"2019-2020","Actual"
815,"Transfer to Central Road and Infrastructure Fund","Major Central Sector Schemes",17250.0,"2019-2020","Actual"
816,"Transfer to National Investment Fund","Major Central Sector Schemes",50587.0,"2019-2020","Actual"
817,"New Lines (Construction)","Major Central Sector Schemes",9871.0,"2019-2020","Actual"
818,"Gauge Conversion","Major Central Sector Schemes",3313.0,"2019-2020","Actual"
819,"Doubling","Major Central Sector Schemes",678.0,"2019-2020","Actual"
820,"Traffic Facilities - Yard Remodelling and Others","Major Central Sector Schemes",1584.0,"2019-2020","Actual"
821,"Computerisation","Major Central Sector Schemes",283.0,"2019-2020","Actual"
822,"Rolling Stock","Major Central Sector Schemes",3963.0,"2019-2020","Actual"
823,"Leased assets - Payment of Capital Component","Major Central Sector Schemes",10462.0,"2019-2020","Actual"
824,"Road Safety Works - Level Crossings","Major Central Sector Schemes",571.0,"2019-2020","Actual"
825,"Road Safety Works - Road Over/Under Bridges","Major Central Sector Schemes",3522.0,"2019-2020","Actual"
826,"Track Renewals","Major Central Sector Schemes",9387.0,"2019-2020","Actual"
827,"Bridge Works","Major Central Sector Schemes",782.0,"2019-2020","Actual"
828,"Signalling and Telecom","Major Central Sector Schemes",1623.0,"2019-2020","Actual"
829,"Other Electrical Works","Major Central Sector Schemes",483.0,"2019-2020","Actual"
830,"Machinery and Plant","Major Central Sector Schemes",458.0,"2019-2020","Actual"
831,"Workshop Including Production Units","Major Central Sector Schemes",2093.0,"2019-2020","Actual"
832,"Staff Welfare","Major Central Sector Schemes",481.0,"2019-2020","Actual"
833,"Passenger and other Railway Users' Amenities","Major Central Sector Schemes",1903.0,"2019-2020","Actual"
834,"Investment in Government Commercial Undertakings - Public Undertakings","Major Central Sector Schemes",16925.0,"2019-2020","Actual"
835,"Other Specified Works","Major Central Sector Schemes",456.0,"2019-2020","Actual"
836,"Stores Suspense","Major Central Sector Schemes",21152.0,"2019-2020","Actual"
837,"Manufacturing Suspense","Major Central Sector Schemes",39854.0,"2019-2020","Actual"
838,"Miscellaneous Advances","Major Central Sector Schemes",1037.0,"2019-2020","Actual"
839,"Metropolitan Transportation Projects","Major Central Sector Schemes",1515.0,"2019-2020","Actual"
840,"Transfer to Rashtirya Rail Sanraksha Kosh","Major Central Sector Schemes",15024.0,"2019-2020","Actual"
841,"National Highways Authority of India","Major Central Sector Schemes",31691.0,"2019-2020","Actual"
842,"Road Works","Major Central Sector Schemes",46292.0,"2019-2020","Actual"
843,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",1069.0,"2019-2020","Actual"
844,"Research and Development","Major Central Sector Schemes",584.0,"2019-2020","Actual"
845,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",812.0,"2019-2020","Actual"
846,"Biotechnology Research and Development","Major Central Sector Schemes",1305.0,"2019-2020","Actual"
847,"Industrial and Entrepreneurship Development","Major Central Sector Schemes",231.0,"2019-2020","Actual"
848,"Space Technology","Major Central Sector Schemes",8873.0,"2019-2020","Actual"
849,"Space Applications","Major Central Sector Schemes",1795.0,"2019-2020","Actual"
850,"Capacity Development (CD)","Major Central Sector Schemes",564.0,"2019-2020","Actual"
851,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",318.0,"2019-2020","Actual"
852,"Central Silk Board","Major Central Sector Schemes",788.0,"2019-2020","Actual"
853,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",566.0,"2019-2020","Actual"
854,"Overseas Promotion and Publicity including Market Development Assistance","Major Central Sector Schemes",312.0,"2019-2020","Actual"
855,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",16.0,"2019-2020","Actual"
856,"Khelo India","Major Central Sector Schemes",576.0,"2019-2020","Actual"
857,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",61500.0,"2020-2021","Budget"
858,"National Social Assistance Program","Core of the Core Schemes",9197.0,"2020-2021","Budget"
859,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",1820.0,"2020-2021","Budget"
860,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",2210.0,"2020-2021","Budget"
861,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",4191.0,"2020-2021","Budget"
862,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",6242.0,"2020-2021","Budget"
863,"Rashtriya Swasthya Bima Yojna","Core Schemes",6429.0,"2020-2021","Budget"
864,"Blue Revolution","Core Schemes",570.0,"2020-2021","Budget"
865,"Border Area Development Programme","Core Schemes",784.0,"2020-2021","Budget"
866,"Environment, Forestry and Wildlife","Core Schemes",926.0,"2020-2021","Budget"
867,"Green Revolution","Core Schemes",13320.0,"2020-2021","Budget"
868,"Infrastructure Facilities for Judiciary","Core Schemes",762.0,"2020-2021","Budget"
869,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",11500.0,"2020-2021","Budget"
870,"Jobs and Skill Development","Core Schemes",5372.0,"2020-2021","Budget"
871,"Mission for Protection and Empowerment for Women","Core Schemes",1163.0,"2020-2021","Budget"
872,"Modernisation of Police Forces","Core Schemes",3162.0,"2020-2021","Budget"
873,"National Education Mission","Core Schemes",39161.0,"2020-2021","Budget"
874,"National Health Mission","Core Schemes",34115.0,"2020-2021","Budget"
875,"National Livelihood Mission - Ajeevika","Core Schemes",10005.0,"2020-2021","Budget"
876,"National Programme of Mid Day Meal in Schools","Core Schemes",11000.0,"2020-2021","Budget"
877,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",27500.0,"2020-2021","Budget"
878,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",19500.0,"2020-2021","Budget"
879,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",11127.0,"2020-2021","Budget"
880,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",858.0,"2020-2021","Budget"
881,"Shyama Prasad Mukherjee Rurban Mission","Core Schemes",600.0,"2020-2021","Budget"
882,"Swachh Bharat Mission","Core Schemes",2300.0,"2020-2021","Budget"
883,"Swachh Bharat Mission (Gramin)","Core Schemes",9994.0,"2020-2021","Budget"
884,"Umbrella ICDS","Core Schemes",28557.0,"2020-2021","Budget"
885,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",13750.0,"2020-2021","Budget"
886,"White Revolution","Core Schemes",1805.0,"2020-2021","Budget"
887,"Rashtriya Pashudhan Vikas Yojana","Core Schemes","","2020-2021","Budget"
888,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes","","2020-2021","Budget"
889,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes","","2020-2021","Budget"
890,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls, National Creche Scheme)","Core Schemes","","2020-2021","Budget"
891,"Mission Shakti","Core Schemes","","2020-2021","Budget"
892,"Market Intervention Scheme and Price Support Scheme (MIS-PSS)","Major Central Sector Schemes",2000.0,"2020-2021","Budget"
893,"Crop Insurance Scheme","Major Central Sector Schemes",15695.0,"2020-2021","Budget"
894,"Interest Subsidy for Short Term Credit to Farmers","Major Central Sector Schemes",21175.0,"2020-2021","Budget"
